datetime,symbol,open,high,low,close,volume
2023-12-26 15:30:00,NYSE:NEM,42.33,42.6,41.23,41.39,25912622.0
2024-01-02 15:30:00,NYSE:NEM,41.26,41.735,39.34,40.34,33928491.0
2024-01-08 15:30:00,NYSE:NEM,39.64,40.49,37.1977,37.64,42512342.0
2024-01-16 15:30:00,NYSE:NEM,37.2,37.2,34.21,34.58,48899496.0
2024-01-22 15:30:00,NYSE:NEM,34.31,36.39,34.16,34.21,53267503.0
2024-01-29 15:30:00,NYSE:NEM,34.54,35.61,33.8,34.41,62277455.0
2024-02-05 15:30:00,NYSE:NEM,33.68,33.945,32.54,32.79,48666513.0
2024-02-12 15:30:00,NYSE:NEM,32.79,33.685,31.615,33.43,54534034.0
2024-02-20 15:30:00,NYSE:NEM,33.63,33.8,30.175,31.28,75176658.0
2024-02-26 15:30:00,NYSE:NEM,30.63,32.335,29.42,31.94,84902189.0
2024-03-04 15:30:00,NYSE:NEM,31.72,34.35,31.67,33.91,83319228.0
2024-03-11 14:30:00,NYSE:NEM,34.13,35.46,33.3719,33.88,122283451.0
2024-03-18 14:30:00,NYSE:NEM,33.69,35.53,33.29,33.77,62905541.0
2024-03-25 14:30:00,NYSE:NEM,34.02,36.365,33.86,35.84,44384923.0
2024-04-01 15:30:00,NYSE:NEM,36.96,39.9201,36.1,39.65,80566275.0
2024-04-08 15:30:00,NYSE:NEM,40.0,41.3,38.21,38.64,79626927.0
2024-04-15 15:30:00,NYSE:NEM,38.88,39.21,37.3801,39.02,51034034.0
2024-04-22 15:30:00,NYSE:NEM,37.65,43.91,36.6,42.73,89638393.0
2024-04-29 15:30:00,NYSE:NEM,42.57,42.92,40.32,40.66,54147634.0
2024-05-06 15:30:00,NYSE:NEM,41.38,43.75,41.05,42.49,40918852.0
2024-05-13 15:30:00,NYSE:NEM,42.35,43.96,41.93,43.74,38868271.0
2024-05-20 15:30:00,NYSE:NEM,44.0,44.59,41.0,41.98,40287162.0
2024-05-28 15:30:00,NYSE:NEM,42.49,42.88,41.395,41.94,35882939.0
2024-06-03 15:30:00,NYSE:NEM,42.01,42.55,40.0627,40.36,42157397.0
2024-06-10 15:30:00,NYSE:NEM,40.38,41.81,40.11,40.82,29664750.0
2024-06-17 15:30:00,NYSE:NEM,41.02,43.1,40.69,42.26,38947808.0
2024-06-24 15:30:00,NYSE:NEM,42.33,43.105,41.158,41.87,35911200.0
2024-07-01 15:30:00,NYSE:NEM,42.1,44.67,41.31,44.51,26841067.0
2024-07-08 15:30:00,NYSE:NEM,44.17,48.02,43.54,47.51,38214081.0
2024-07-15 15:30:00,NYSE:NEM,47.13,48.97,45.72,47.0,35485095.0
2024-07-22 15:30:00,NYSE:NEM,46.8,48.32,44.77,46.73,43552081.0
2024-07-29 15:30:00,NYSE:NEM,47.19,50.7196,46.6,48.51,46332357.0
2024-08-05 15:30:00,NYSE:NEM,45.85,48.28,45.03,47.71,35554692.0
2024-08-12 15:30:00,NYSE:NEM,48.0,50.34,47.98,50.21,31071720.0
2024-08-19 15:30:00,NYSE:NEM,50.21,52.395,49.97,52.04,27784481.0
2024-08-26 15:30:00,NYSE:NEM,52.62,53.88,51.47,53.39,30863855.0
2024-09-03 15:30:00,NYSE:NEM,52.47,52.65,50.23,50.34,27877753.0
2024-09-09 15:30:00,NYSE:NEM,50.54,54.25,50.015,53.71,33586201.0
2024-09-16 15:30:00,NYSE:NEM,53.54,54.93,52.27,54.47,50854098.0
2024-09-23 15:30:00,NYSE:NEM,54.45,56.3,53.82,53.9,46327436.0
2024-09-30 15:30:00,NYSE:NEM,53.44,54.99,52.7,53.34,40568312.0
2024-10-07 15:30:00,NYSE:NEM,52.93,54.6,51.8215,54.3,31749566.0
2024-10-14 15:30:00,NYSE:NEM,54.01,57.9639,53.83,57.62,31743118.0
2024-10-21 15:30:00,NYSE:NEM,58.46,58.72,46.76,48.42,91942577.0
2024-10-28 14:30:00,NYSE:NEM,48.1,49.11,45.085,45.26,64477632.0
2024-11-04 15:30:00,NYSE:NEM,45.39,46.13,43.6,45.04,56241612.0
2024-11-11 15:30:00,NYSE:NEM,43.32,43.49,40.48,40.93,76235284.0
2024-11-18 15:30:00,NYSE:NEM,41.9,43.79,41.74,43.38,45303051.0
2024-11-25 15:30:00,NYSE:NEM,41.865,42.635,41.65,41.94,38702086.0
2024-12-02 15:30:00,NYSE:NEM,41.58,42.195,40.115,41.11,49700006.0
2024-12-09 15:30:00,NYSE:NEM,41.9,42.52,40.19,40.22,45616993.0
2024-12-16 15:30:00,NYSE:NEM,40.15,40.26,36.94,38.28,76374572.0
2024-12-23 15:30:00,NYSE:NEM,38.01,38.61,37.4637,37.84,23499101.0
2024-12-30 15:30:00,NYSE:NEM,37.42,38.85,36.86,38.11,31408711.0
