datetime,symbol,open,high,low,close,volume
2024-12-30 15:30:00,NASDAQ:TSLA,419.4,427.93,373.04,410.44,346900211.0
2025-01-06 15:30:00,NASDAQ:TSLA,423.2,426.43,377.29,394.74,296542197.0
2025-01-13 15:30:00,NASDAQ:TSLA,383.21,439.74,380.07,426.5,396847556.0
2025-01-21 15:30:00,NASDAQ:TSLA,432.64,433.2,405.78,406.58,255401977.0
2025-01-27 15:30:00,NASDAQ:TSLA,394.8,419.99,384.41,404.6,356730932.0
2025-02-03 15:30:00,NASDAQ:TSLA,386.68,394.0,360.34,361.62,356635566.0
2025-02-10 15:30:00,NASDAQ:TSLA,356.21,362.7,325.1,355.84,459159830.0
2025-02-18 15:30:00,NASDAQ:TSLA,355.01,367.34,334.42,337.8,238750078.0
2025-02-24 15:30:00,NASDAQ:TSLA,338.14,342.3973,273.6,292.98,527844539.0
2025-03-03 15:30:00,NASDAQ:TSLA,300.34,303.94,250.73,262.67,537122156.0
2025-03-10 14:30:00,NASDAQ:TSLA,252.535,253.37,217.02,249.98,721244833.0
2025-03-17 14:30:00,NASDAQ:TSLA,245.055,249.52,222.28,248.71,567128908.0
2025-03-24 14:30:00,NASDAQ:TSLA,258.075,291.85,256.33,263.55,762077379.0
2025-03-31 15:30:00,NASDAQ:TSLA,249.31,284.99,236.0,239.43,810687308.0
2025-04-07 15:30:00,NASDAQ:TSLA,223.78,274.69,214.25,252.31,885161310.0
2025-04-14 15:30:00,NASDAQ:TSLA,258.36,261.8,233.89,241.37,375513071.0
2025-04-21 15:30:00,NASDAQ:TSLA,230.26,286.85,222.79,284.95,631033245.0
2025-04-28 15:30:00,NASDAQ:TSLA,288.98,294.86,270.78,287.21,603713038.0
2025-05-05 15:30:00,NASDAQ:TSLA,284.57,307.04,271.0,298.26,473144365.0
2025-05-12 15:30:00,NASDAQ:TSLA,321.99,351.62,311.5,349.98,580594760.0
2025-05-19 15:30:00,NASDAQ:TSLA,336.3,354.9899,331.39,339.34,504708479.0
2025-05-27 15:30:00,NASDAQ:TSLA,347.35,367.71,345.29,346.46,423571327.0
2025-06-02 15:30:00,NASDAQ:TSLA,343.5,355.4,273.21,284.7,566374556.0
