datetime,symbol,open,high,low,close,volume
2024-12-30 15:30:00,NASDAQ:AAPL,252.23,253.5,241.8201,243.36,171023105.0
2025-01-06 15:30:00,NASDAQ:AAPL,244.31,247.33,233.0,236.85,185241327.0
2025-01-13 15:30:00,NASDAQ:AAPL,233.53,238.96,228.03,229.98,269145341.0
2025-01-21 15:30:00,NASDAQ:AAPL,224.0,227.03,219.38,222.78,277129596.0
2025-01-27 15:30:00,NASDAQ:AAPL,224.02,247.19,223.98,236.0,372790494.0
2025-02-03 15:30:00,NASDAQ:AAPL,229.99,234.0,225.7,227.63,227428164.0
2025-02-10 15:30:00,NASDAQ:AAPL,229.57,245.55,227.2,244.6,226587580.0
2025-02-18 15:30:00,NASDAQ:AAPL,244.15,248.69,241.84,245.55,166541044.0
2025-02-24 15:30:00,NASDAQ:AAPL,244.925,250.0,230.2,241.84,241760231.0
2025-03-03 15:30:00,NASDAQ:AAPL,241.79,244.0272,229.23,239.07,239653674.0
2025-03-10 14:30:00,NASDAQ:AAPL,235.54,236.16,208.42,213.49,332231986.0
2025-03-17 14:30:00,NASDAQ:AAPL,213.31,218.84,209.97,218.27,287881958.0
2025-03-24 14:30:00,NASDAQ:AAPL,221.0,225.02,217.68,217.9,190239113.0
2025-03-31 15:30:00,NASDAQ:AAPL,217.005,225.62,187.34,188.38,366947884.0
2025-04-07 15:30:00,NASDAQ:AAPL,177.2,200.61,169.2101,198.15,675037558.0
2025-04-14 15:30:00,NASDAQ:AAPL,211.44,212.94,192.37,196.98,264593881.0
2025-04-21 15:30:00,NASDAQ:AAPL,193.265,209.75,189.8112,209.28,238181320.0
2025-04-28 15:30:00,NASDAQ:AAPL,210.0,214.56,202.16,205.35,286233457.0
2025-05-05 15:30:00,NASDAQ:AAPL,203.1,204.1,193.25,198.53,275784672.0
2025-05-12 15:30:00,NASDAQ:AAPL,210.97,213.94,206.75,211.26,264778294.0
2025-05-19 15:30:00,NASDAQ:AAPL,207.91,209.48,193.46,195.27,273024261.0
2025-05-27 15:30:00,NASDAQ:AAPL,198.3,203.81,196.78,200.85,223926033.0
2025-06-02 15:30:00,NASDAQ:AAPL,200.28,206.24,200.12,200.63,180439495.0
