datetime,symbol,open,high,low,close,volume
2024-12-30 03:00:00,HOSE:HPG,26800.0,27050.0,26600.0,26600.0,60073400.0
2025-01-06 03:00:00,HOSE:HPG,26600.0,26700.0,25550.0,25550.0,67464300.0
2025-01-13 03:00:00,HOSE:HPG,25550.0,26500.0,25450.0,26500.0,63608011.0
2025-01-20 03:00:00,HOSE:HPG,26500.0,26750.0,26150.0,26550.0,61785362.0
2025-02-03 03:00:00,HOSE:HPG,26500.0,27000.0,26250.0,26650.0,80545715.0
2025-02-10 03:00:00,HOSE:HPG,26500.0,26500.0,25400.0,26100.0,141255500.0
2025-02-17 03:00:00,HOSE:HPG,26150.0,26600.0,26050.0,26450.0,82717655.0
2025-02-24 03:00:00,HOSE:HPG,28300.0,28450.0,27200.0,28000.0,217447900.0
2025-03-03 03:00:00,HOSE:HPG,28050.0,28250.0,27550.0,28050.0,151921300.0
2025-03-10 03:00:00,HOSE:HPG,28100.0,28200.0,27550.0,27550.0,114681923.0
2025-03-17 03:00:00,HOSE:HPG,27900.0,28150.0,27050.0,27150.0,124479100.0
2025-03-24 03:00:00,HOSE:HPG,27150.0,27950.0,26900.0,27150.0,134925900.0
2025-03-31 04:00:00,HOSE:HPG,27050.0,27400.0,23600.0,24600.0,213555900.0
2025-04-08 04:00:00,HOSE:HPG,23500.0,24300.0,21300.0,24300.0,194531304.0
2025-04-14 04:00:00,HOSE:HPG,24800.0,26150.0,24750.0,25450.0,177818280.0
2025-04-21 04:00:00,HOSE:HPG,25450.0,25700.0,23400.0,25700.0,140392960.0
2025-04-28 04:00:00,HOSE:HPG,25700.0,25700.0,25350.0,25500.0,41600660.0
2025-05-05 04:00:00,HOSE:HPG,25650.0,26050.0,25300.0,25650.0,77579769.0
2025-05-12 04:00:00,HOSE:HPG,25550.0,26550.0,24750.0,25800.0,173467205.0
2025-05-19 04:00:00,HOSE:HPG,25750.0,26100.0,25550.0,25600.0,95899360.0
2025-05-26 04:00:00,HOSE:HPG,25650.0,26650.0,25050.0,25750.0,151442977.0
2025-06-02 04:00:00,HOSE:HPG,25600.0,26400.0,25350.0,25750.0,99431141.0
