symbol,shares
NASDAQ:AAPL,1907
NASDAQ:TSLA,0
NYSE:AMT,0
NYSE:DIS,0
NYSE:JNJ,0
NYSE:JPM,0
NYSE:NEM,0
NYSE:PG,889
NYSE:UNP,0
NYSE:XOM,5025
