symbol,shares
HOSE:FPT,305150
HOSE:GAS,0
HOSE:HPG,0
HOSE:MWG,0
HOSE:PNJ,0
HOSE:REE,0
HOSE:VCB,0
HOSE:VIC,0
HOSE:VJC,0
HOSE:VNM,0
